Date,Parameter ,Value,Approval Name,Grade Name
2021-05-21 10:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:15,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:25,47,127,APPROVED,UNSPECIFIED
2021-05-21 10:30,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:35,47,127,APPROVED,UNSPECIFIED
2021-05-21 10:40,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:45,47,127,APPROVED,UNSPECIFIED
2021-05-21 10:50,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:55,47,127,APPROVED,UNSPECIFIED
2021-05-21 11:00,47,127,APPROVED,UNSPECIFIED
2021-05-21 11:05,47,126,APPROVED,UNSPECIFIED
2021-05-21 11:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 11:15,47,126,APPROVED,UNSPECIFIED
2021-05-21 11:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 11:25,47,126,APPROVED,UNSPECIFIED
